Blocos,Doses,Prod
b1,0,3.38
b1,25,7.15
b1,50,10.07
b1,75,9.55
b1,100,9.14
b2,0,5.77
b2,25,9.78
b2,50,9.73
b2,75,8.95
b2,100,10.17
b3,0,4.90
b3,25,9.99
b3,50,7.92
b3,75,10.24
b3,100,9.75
b4,0,4.54
b4,25,10.10
b4,50,9.48
b4,75,8.66
b4,100,9.50
